Date,Open,High,Low,Close,Volume
2002-02-21,127.0,127.0,127.0,127.0,1
2002-02-21,133.0,134.3,131.0,132.1,14883
2002-02-24,132.0,139.0,130.1,136.9,38190
2002-02-24,39.0,41.0,37.0,40.2,30549
2002-02-24,109.0,109.0,109.0,109.0,58
2002-02-24,136.0,144.5,136.0,141.25,2073873
2002-02-25,40.3,42.9,40.3,41.85,87277
2002-02-25,143.2,147.85,142.15,146.85,2510951
2002-02-25,137.9,143.0,137.3,141.2,27285
2002-02-25,107.0,107.0,107.0,107.0,66
2002-02-26,147.95,148.85,141.5,143.45,1592704
2002-02-26,44.5,44.5,38.05,40.65,33676
2002-02-26,106.05,111.5,106.05,106.05,94
2002-02-26,140.45,140.45,137.25,139.25,17225
2002-02-27,135.1,141.9,130.0,134.45,74030
2002-02-27,39.15,41.85,35.3,38.6,47954
2002-02-27,144.0,145.9,135.0,141.4,2541804
2002-02-27,111.5,111.5,111.5,111.5,1
2002-02-28,137.0,138.8,131.1,137.95,27009
2002-02-28,141.0,144.85,136.55,143.7,1298249
2002-02-28,106.0,106.0,106.0,106.0,50
2002-02-28,38.0,39.5,37.1,39.0,58474
2002-03-03,147.9,147.9,138.3,139.05,581035
2002-03-03,141.0,141.0,133.5,134.35,22631
2002-03-03,39.9,40.5,37.65,38.0,11203
2002-03-03,106.0,106.0,106.0,106.0,25
2002-03-04,133.5,136.9,127.5,127.9,61368
2002-03-04,138.0,144.4,130.1,131.35,1743162
2002-03-04,37.2,37.8,32.7,33.4,74444
2002-03-05,128.5,129.5,123.0,124.2,142214
2002-03-05,33.5,36.0,31.55,33.7,55832
2002-03-05,132.5,134.3,125.05,126.2,2886197
2002-03-06,126.5,129.0,124.5,127.95,89405
2002-03-06,127.5,131.4,127.5,129.45,1752568
2002-03-06,111.0,111.0,106.55,106.55,501
2002-03-06,34.0,36.25,33.3,36.0,31485
2002-03-07,111.0,111.0,107.4,107.4,262
2002-03-07,130.5,134.8,130.5,133.45,1485270
2002-03-07,37.8,38.0,37.0,37.0,16128
